Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 1 2017 12/30/2016 - 01/05/2017,"168,314","144,107","115,838","103,395","87,421","15,974","124,430","78,713,028","42,403,535","36,309,493","1,695,529","1,695,140",389,"4,913","28,075,000"
Week 2 2017 01/06/2017 - 01/12/2017,"69,978","58,233","42,966","37,413","31,378","6,035","55,532","40,517,292","22,900,947","17,616,345","784,459","784,287",172,932,"2,536,800"
Week 3 2017 01/13/2017 - 01/19/2017,"43,992","35,696","24,556","20,642","16,706","3,936","39,143","29,153,556","16,709,861","12,443,695","492,380","492,287",93,849,"2,101,000"
Week 4 2017 01/20/2017 - 01/26/2017,"32,336","25,970","17,036","14,114","11,202","2,912","29,225","22,948,659","13,399,660","9,548,999","385,601","385,582",19,814,"2,010,400"
Week 5 2017 01/27/2017 - 02/02/2017,"27,709","22,153","13,801","11,214","8,846","2,368","25,871","20,861,488","12,528,251","8,333,237","319,207","319,205",2,545,"1,679,300"
Week 6 2017 02/03/2017 - 02/09/2017,"24,924","19,632","11,759","9,358","7,367","1,991","24,013","19,747,379","11,809,791","7,937,588","301,843","301,842",1,544,"1,491,700"
Week 7 2017 02/10/2017 - 02/16/2017,"23,718","18,776","11,401","9,021","6,936","2,085","23,804","18,476,087","11,062,855","7,413,232","278,482","278,480",2,565,"1,387,700"
Week 8 2017 02/17/2017 - 02/23/2017,"21,369","16,900","10,083","7,927","5,971","1,956","21,557","16,928,741","10,226,071","6,702,670","305,568","305,566",2,430,"1,173,400"
Week 9 2017 02/24/2017 - 03/02/2017,"20,737","16,555","9,893","7,884","6,155","1,729","20,093","16,265,011","9,992,514","6,272,497","240,867","240,867",0,554,"1,582,500"
Week 10 2017 03/03/2017 - 03/09/2017,"20,419","16,285","9,951","7,903","6,191","1,712","20,479","15,701,501","9,501,382","6,200,119","244,457","244,454",3,444,"1,298,000"
