Activity,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 34 2017 08/18/2017 - 08/24/2017,"11,865,094","8,921,342","3,636,490","2,658,218","1,551,158","1,107,060","9,782,715","12,342,907,337","7,927,278,945","4,415,628,392","179,464,040","179,464,040",0,"3,823,090","15,471,355,900"
Week 35 2017 08/25/2017 - 08/31/2017,"12,041,498","9,070,094","3,639,415","2,637,628","1,486,775","1,150,852","10,017,878","12,603,123,411","8,146,017,378","4,457,106,033","182,365,715","182,365,715",0,"3,807,742","15,332,478,200"
Week 36 2017 09/01/2017 - 09/07/2017,"11,904,990","8,973,611","3,534,967","2,563,851","1,531,143","1,032,708","9,711,161","12,555,034,965","8,157,966,592","4,397,068,373","177,673,206","177,673,206",0,"3,866,770","15,766,808,400"
Week 37 2017 09/08/2017 - 09/14/2017,"11,708,928","8,903,433","3,571,426","2,656,552","1,560,149","1,096,403","9,148,744","12,206,252,753","7,998,010,245","4,208,242,508","185,018,220","185,018,220",0,"3,709,032","14,971,263,300"
Week 38 2017 09/15/2017 - 09/21/2017,"12,004,680","9,175,417","3,643,138","2,709,513","1,533,729","1,175,784","9,336,255","12,542,313,117","8,298,417,373","4,243,895,744","194,849,694","194,849,694",0,"3,792,954","15,215,187,700"
Week 39 2017 09/22/2017 - 09/28/2017,"12,087,568","9,288,077","3,676,922","2,770,672","1,618,630","1,152,042","9,062,503","12,615,968,750","8,416,732,780","4,199,235,970","198,365,378","198,365,378",0,"3,792,411","15,206,837,400"
Week 40 2017 09/29/2017 - 10/05/2017,"12,378,776","9,481,802","3,841,951","2,919,676","1,739,616","1,180,060","9,222,743","12,805,238,657","8,459,777,847","4,345,460,810","199,658,254","199,658,254",0,"3,837,561","15,442,452,400"
Week 41 2017 10/06/2017 - 10/12/2017,"12,236,370","9,236,035","3,663,227","2,738,126","1,651,200","1,086,926","9,251,011","12,859,713,462","8,359,211,180","4,500,502,282","185,686,206","185,686,206",0,"3,812,870","15,339,308,500"
Week 42 2017 10/13/2017 - 10/19/2017,"12,648,526","9,618,124","3,991,992","3,113,638","1,905,255","1,208,383","8,783,544","12,984,800,785","8,439,198,479","4,545,602,306","196,075,955","196,075,955",0,"3,820,264","15,017,093,900"
Week 43 2017 10/20/2017 - 10/26/2017,"12,528,279","9,437,603","3,752,338","2,879,427","1,751,422","1,128,006","8,729,106","13,163,911,362","8,527,896,859","4,636,014,503","198,728,850","198,728,850",0,"3,809,931","14,970,854,800"
Week 44 2017 10/27/2017 - 11/02/2017,"12,417,964","9,403,087","3,821,482","2,998,419","1,911,948","1,086,471","8,230,633","12,894,723,150","8,372,407,593","4,522,315,557","193,525,098","193,525,098",0,"3,856,187","15,065,903,500"
Week 45 2017 11/03/2017 - 11/09/2017,"13,113,277","9,929,878","4,188,024","3,293,192","2,065,416","1,227,776","8,948,318","13,387,879,327","8,612,781,169","4,775,098,158","198,067,607","198,067,607",0,"3,891,481","15,195,844,200"
Week 46 2017 11/10/2017 - 11/16/2017,"13,960,531","10,820,415","5,048,048","4,208,692","2,462,773","1,745,919","8,393,561","13,368,724,030","8,658,549,505","4,710,174,525","194,422,900","194,422,900",0,"3,841,571","15,091,952,100"
Week 47 2017 11/17/2017 - 11/23/2017,"14,059,266","10,563,834","4,726,804","3,819,907","2,543,808","1,276,099","9,068,969","13,998,692,006","8,755,544,135","5,243,147,871","180,272,394","180,272,394",0,"3,887,411","15,545,414,700"
Week 48 2017 11/24/2017 - 11/30/2017,"13,628,530","10,541,961","4,833,419","4,039,954","2,961,574","1,078,380","7,934,658","13,192,665,602","8,562,811,955","4,629,853,647","181,031,618","181,031,618",0,"3,936,866","15,816,047,600"
Week 49 2017 12/01/2017 - 12/07/2017,"14,797,737","11,440,289","5,339,603","4,497,357","3,315,956","1,181,401","8,422,459","14,187,200,476","9,151,028,895","5,036,171,581","203,857,956","203,857,956",0,"3,925,636","15,714,184,200"
Week 50 2017 12/08/2017 - 12/14/2017,"14,739,187","11,428,782","5,296,212","4,479,259","3,366,285","1,112,974","8,169,526","14,164,461,980","9,198,854,732","4,965,607,248","200,275,671","200,275,671",0,"3,887,956","15,540,228,700"
Week 51 2017 12/15/2017 - 12/21/2017,"16,439,775","12,999,513","6,818,494","5,912,222","4,557,349","1,354,873","9,062,719","14,431,921,484","9,271,527,709","5,160,393,775","198,641,039","198,641,039",0,"3,926,243","15,759,514,900"
Week 52 2017 12/22/2017 - 12/28/2017,"15,436,448","11,946,173","6,135,931","4,836,355","3,352,959","1,483,395","12,995,763","13,950,775,933","8,715,363,170","5,235,412,763","165,257,249","165,257,249",0,"4,036,134","16,423,131,900"
Week 1 2018 12/29/2017 - 01/04/2018,"12,774,140","9,529,065","3,686,194","2,645,792","1,558,296","1,087,496","10,404,024","13,631,919,228","8,764,306,595","4,867,612,633","2,093,935,041","2,093,935,041",0,"4,034,449","16,361,782,300"
Week 2 2018 01/05/2018 - 01/11/2018,"13,023,719","9,866,050","3,323,936","2,398,591","1,413,353","985,237","9,253,450","14,549,675,527","9,813,171,035","4,736,504,492","3,861,204,709","3,861,204,709",0,"3,972,469","15,986,544,400"
Week 3 2018 01/12/2018 - 01/18/2018,"13,319,684","9,883,754","3,307,284","2,402,544","1,365,821","1,036,723","9,047,400","15,018,599,644","9,864,705,273","5,153,894,371","3,835,141,115","3,835,141,115",0,"3,919,058","15,662,997,600"
Week 4 2018 01/19/2018 - 01/25/2018,"13,694,675","10,285,210","3,380,435","2,497,344","1,410,012","1,087,331","8,830,912","15,471,360,903","10,357,162,906","5,114,197,997","4,040,668,403","4,040,668,403",0,"3,910,502","15,442,615,300"
Week 5 2018 01/26/2018 - 02/01/2018,"14,053,503","10,581,041","3,519,988","2,601,031","1,519,474","1,081,557","9,189,573","15,800,271,695","10,591,579,349","5,208,692,346","4,041,388,990","4,041,388,990",0,"3,356,408","13,432,940,600"
Week 6 2018 02/02/2018 - 02/08/2018,"13,901,966","10,464,696","3,503,775","2,651,446","1,563,563","1,087,883","8,523,292","15,597,285,618","10,441,380,269","5,155,905,349","3,921,433,667","3,921,433,667",0,"3,913,676","15,571,355,100"
Week 7 2018 02/09/2018 - 02/15/2018,"14,145,574","10,657,620","3,562,981","2,685,231","1,648,976","1,036,254","8,777,507","15,873,889,600","10,641,958,284","5,231,931,316","3,928,386,859","3,928,386,859",0,"3,870,248","15,308,261,500"
Week 8 2018 02/16/2018 - 02/22/2018,"14,111,116","10,575,990","3,486,966","2,618,483","1,575,304","1,043,178","8,684,834","15,936,224,792","10,633,535,588","5,302,689,204","3,922,839,860","3,922,839,860",0,"3,887,944","15,338,501,800"
Week 9 2018 02/23/2018 - 03/01/2018,"14,482,024","11,015,409","3,712,463","2,811,604","1,741,961","1,069,642","9,008,594","16,154,341,810","10,954,418,822","5,199,922,988","4,047,485,711","4,047,485,711",0,"3,908,374","15,403,361,500"
Week 10 2018 03/02/2018 - 03/08/2018,"14,224,922","10,774,511","3,505,442","2,615,456","1,610,634","1,004,822","8,899,867","16,079,219,877","10,903,603,281","5,175,616,596","4,075,012,735","4,075,012,735",0,"3,902,407","15,340,929,200"
Week 11 2018 03/09/2018 - 03/15/2018,"14,357,552","10,927,761","3,666,378","2,796,142","1,721,217","1,074,925","8,702,360","16,036,760,316","10,892,073,939","5,144,686,377","3,992,609,483","3,992,609,483",0,"3,860,898","15,040,920,200"
Week 12 2018 03/16/2018 - 03/22/2018,"14,176,306","10,735,047","3,487,613","2,622,610","1,615,722","1,006,888","8,650,030","16,033,039,772","10,871,151,131","5,161,888,641","4,019,483,325","4,019,483,325",0,"3,874,348","14,498,704,200"
Week 13 2018 03/23/2018 - 03/29/2018,"14,308,781","10,848,849","3,489,316","2,635,249","1,674,100","961,148","8,540,677","16,229,197,415","11,039,299,774","5,189,897,641","4,095,853,990","4,095,853,990",0,"3,880,208","14,541,562,700"
Week 14 2018 03/30/2018 - 04/05/2018,"14,383,397","10,924,134","3,568,568","2,665,117","1,550,321","1,114,795","9,034,512","16,222,243,213","11,033,349,646","5,188,893,567","4,050,732,143","4,050,732,143",0,"3,943,507","14,804,240,000"
Week 15 2018 04/06/2018 - 04/12/2018,"14,575,057","11,099,996","3,613,431","2,749,044","1,595,391","1,153,653","8,643,875","16,442,438,712","11,229,847,015","5,212,591,697","4,050,460,865","4,050,460,865",0,"3,921,600","14,737,029,900"
Week 16 2018 04/13/2018 - 04/19/2018,"14,637,349","11,158,174","3,648,660","2,793,606","1,655,250","1,138,355","8,550,545","16,483,032,744","11,264,271,160","5,218,761,584","4,074,285,202","4,074,285,202",0,"3,882,786","14,722,412,600"
Week 17 2018 04/20/2018 - 04/26/2018,"15,369,814","11,847,735","4,099,170","3,267,677","2,075,439","1,192,238","8,314,926","16,905,965,880","11,622,848,183","5,283,117,697","4,145,907,403","4,145,907,403",0,"3,343,374","12,562,307,800"
Week 18 2018 04/27/2018 - 05/03/2018,"14,841,403","11,367,403","3,593,884","2,799,229","1,720,582","1,078,647","7,946,553","16,871,278,932","11,660,278,990","5,210,999,942","4,160,445,393","4,160,445,393",0,"3,944,162","15,104,901,500"
Week 19 2018 05/04/2018 - 05/10/2018,"14,556,595","11,037,446","3,358,652","2,564,274","1,574,947","989,327","7,943,771","16,796,915,247","11,518,191,492","5,278,723,755","4,040,265,110","4,040,265,110",0,"3,918,803","14,962,039,600"
Week 20 2018 05/11/2018 - 05/17/2018,"14,605,774","11,048,519","3,401,071","2,602,299","1,614,490","987,808","7,987,643","16,807,054,481","11,471,172,315","5,335,882,166","4,049,587,992","4,049,587,992",0,"3,891,972","14,829,429,700"
Week 21 2018 05/18/2018 - 05/24/2018,"14,537,293","10,979,614","3,360,262","2,525,936","1,528,884","997,052","8,343,181","16,765,546,380","11,429,027,486","5,336,518,894","3,978,387,323","3,978,387,323",0,"3,869,179","14,762,748,500"
Week 22 2018 05/25/2018 - 05/31/2018,"14,201,081","10,624,127","3,143,906","2,357,695","1,390,348","967,347","7,861,889","16,585,762,801","11,220,332,505","5,365,430,296","3,834,973,016","3,834,973,016",0,"3,915,869","15,190,419,300"
Week 23 2018 06/01/2018 - 06/07/2018,"14,534,280","10,940,289","3,275,396","2,473,646","1,461,085","1,012,561","8,016,128","16,888,326,117","11,497,339,145","5,390,986,972","3,933,655,796","3,933,655,796",0,"3,941,989","15,035,968,200"
Week 24 2018 06/08/2018 - 06/14/2018,"14,636,431","11,118,722","3,585,855","2,795,718","1,721,427","1,074,291","7,899,087","16,575,863,583","11,299,299,757","5,276,563,826","3,685,361,676","3,685,361,676",0,"3,906,342","14,924,336,300"
Week 25 2018 06/15/2018 - 06/21/2018,"14,586,301","11,037,269","3,570,744","2,762,931","1,606,946","1,155,985","8,076,862","16,523,334,942","11,199,787,890","5,323,547,052","3,224,387,751","3,224,387,751",0,"3,897,498","14,839,326,300"
Week 26 2018 06/22/2018 - 06/28/2018,"14,230,698","10,793,361","3,289,628","2,494,169","1,437,189","1,056,979","7,952,973","16,411,604,633","11,255,598,916","5,156,005,717","3,715,127,829","3,715,127,829",0,"3,918,737","14,897,166,200"
Week 27 2018 06/29/2018 - 07/05/2018,"13,052,254","11,668,589","3,461,363","2,660,873","1,538,605","1,122,268","8,003,416","16,651,566,621","11,462,823,224","5,188,743,397","3,690,195,174","3,690,195,174",0,"3,445,869","13,377,290,500"
Week 28 2018 07/06/2018 - 07/12/2018,"12,206,733","10,841,140","2,830,162","2,078,298","1,249,441","828,857","7,517,407","16,325,128,069","11,204,154,673","5,120,973,396","3,748,179,941","3,748,179,941",0,"3,986,123","15,455,397,900"
Week 29 2018 07/13/2018 - 07/19/2018,"12,546,687","11,155,748","3,058,332","2,285,996","1,394,909","891,087","7,722,009","16,538,322,344","11,322,300,282","5,216,022,062","3,763,986,976","3,763,986,976",0,"3,942,167","15,100,769,500"
Week 30 2018 07/20/2018 - 07/26/2018,"12,538,393","11,121,293","3,037,417","2,273,537","1,416,467","857,070","7,637,267","16,620,166,051","11,306,040,166","5,314,125,885","3,757,299,640","3,757,299,640",0,"3,938,871","14,883,774,900"
Week 31 2018 07/27/2018 - 08/02/2018,"12,539,330","11,109,261","3,019,499","2,262,163","1,351,399","910,764","7,570,101","16,678,332,573","11,315,572,213","5,362,760,360","3,800,041,604","3,800,041,604",0,"3,966,995","14,966,134,000"
Week 32 2018 08/03/2018 - 08/09/2018,"12,689,521","11,246,138","3,209,099","2,468,631","1,346,886","1,121,745","7,403,421","16,684,220,608","11,271,535,169","5,412,685,439","3,775,159,557","3,775,159,557",0,"3,971,697","15,056,902,200"
Week 33 2018 08/10/2018 - 08/16/2018,"12,670,956","11,232,270","3,054,329","2,308,962","1,290,965","1,017,997","7,451,805","16,859,959,019","11,464,887,984","5,395,071,035","3,765,445,145","3,765,445,145",0,"3,947,761","14,902,384,200"
Week 34 2018 08/17/2018 - 08/23/2018,"12,825,756","11,377,435","3,098,721","2,354,638","1,364,860","989,777","7,439,494","17,063,562,750","11,632,357,385","5,431,205,365","3,805,098,681","3,805,098,681",0,"3,933,629","14,701,932,000"
Week 35 2018 08/24/2018 - 08/30/2018,"12,794,112","11,333,666","2,967,754","2,243,971","1,369,180","874,791","7,236,520","17,248,341,555","11,771,669,420","5,476,672,135","3,820,576,794","3,820,576,794",0,"3,942,317","14,739,467,700"
Week 36 2018 08/31/2018 - 09/06/2018,"12,903,858","11,408,257","3,129,519","2,424,941","1,360,590","1,064,350","7,043,664","17,254,864,829","11,646,361,939","5,608,502,890","3,604,312,919","3,604,312,919",0,"3,995,861","15,030,437,800"
Week 37 2018 09/07/2018 - 09/13/2018,"12,991,192","11,503,688","3,167,288","2,487,152","1,580,434","906,718","6,800,394","17,334,269,594","11,756,130,178","5,578,139,416","3,675,535,725","3,675,535,725",0,"3,954,158","14,778,863,200"
Week 38 2018 09/14/2018 - 09/20/2018,"13,018,722","11,514,428","3,077,235","2,402,106","1,515,669","886,437","6,749,458","17,540,505,579","11,899,401,808","5,641,103,771","3,702,774,478","3,702,774,478",0,"3,907,092","14,666,830,400"
Week 39 2018 09/21/2018 - 09/27/2018,"12,957,062","11,443,811","2,932,474","2,266,260","1,346,000","920,260","6,661,007","17,685,032,269","12,010,341,251","5,674,691,018","3,669,124,658","3,669,124,658",0,"3,934,823","14,604,928,300"
Week 40 2018 09/28/2018 - 10/04/2018,"13,409,754","11,922,467","3,249,368","2,577,722","1,455,979","1,121,743","6,714,268","17,809,445,988","12,232,120,880","5,577,325,108","3,695,810,560","3,695,810,560",0,"3,953,855","14,656,591,600"
Week 41 2018 10/05/2018 - 10/11/2018,"13,416,379","11,904,402","3,356,651","2,682,356","1,567,946","1,114,410","6,741,864","17,724,013,030","12,054,099,271","5,669,913,759","3,588,094,762","3,588,094,762",0,"3,952,961","14,719,048,100"
Week 42 2018 10/12/2018 - 10/18/2018,"12,939,592","11,458,394","2,851,133","2,201,910","1,348,681","853,229","6,490,978","17,684,193,390","12,129,699,794","5,554,493,596","3,623,401,476","3,623,401,476",0,"3,923,565","14,530,432,000"
Week 43 2018 10/19/2018 - 10/25/2018,"13,095,971","11,554,275","2,872,584","2,234,664","1,362,018","872,646","6,377,292","18,023,337,251","12,241,977,115","5,781,360,136","3,634,070,078","3,634,070,078",0,"3,959,666","14,643,066,800"
Week 44 2018 10/26/2018 - 11/01/2018,"13,175,633","11,627,902","2,954,890","2,322,409","1,463,607","858,803","6,323,428","18,038,745,135","12,234,753,794","5,803,991,341","3,628,246,385","3,628,246,385",0,"4,003,890","14,797,491,700"
Week 45 2018 11/02/2018 - 11/08/2018,"13,503,846","11,906,439","3,067,503","2,406,880","1,536,200","870,680","6,604,779","18,445,764,581","12,455,487,181","5,990,277,400","3,629,994,459","3,629,994,459",0,"4,039,934","14,865,666,900"
Week 46 2018 11/09/2018 - 11/15/2018,"13,744,129","12,167,361","3,337,353","2,696,323","1,726,702","969,621","6,409,056","18,370,179,495","12,457,299,161","5,912,880,334","3,595,933,989","3,595,933,989",0,"3,999,441","14,857,028,800"
Week 47 2018 11/16/2018 - 11/22/2018,"14,517,598","12,804,474","3,825,882","3,172,636","2,134,201","1,038,435","6,531,018","19,048,329,202","12,624,111,122","6,424,218,080","3,667,741,066","3,667,741,066",0,"4,059,358","15,252,169,100"
Week 48 2018 11/23/2018 - 11/29/2018,"14,142,030","12,606,170","3,847,808","3,264,310","2,434,442","829,867","5,833,184","18,060,090,128","12,300,615,053","5,759,475,075","3,567,914,957","3,567,914,957",0,"4,087,165","15,406,995,500"
Week 49 2018 11/30/2018 - 12/06/2018,"15,253,957","13,621,156","4,036,214","3,393,625","2,447,110","946,515","6,423,872","19,579,221,348","13,456,215,808","6,123,005,540","3,880,002,401","3,880,002,401",0,"4,088,721","15,327,618,800"
Week 50 2018 12/07/2018 - 12/13/2018,"15,773,112","14,101,901","4,365,700","3,747,936","2,825,504","922,431","6,174,671","19,942,009,014","13,674,967,239","6,267,041,775","3,804,867,198","3,804,867,198",0,"4,072,273","15,253,657,000"
Week 51 2018 12/14/2018 - 12/20/2018,"16,647,820","14,994,783","5,064,755","4,409,390","3,534,384","875,007","6,552,403","20,081,316,967","13,882,430,098","6,198,886,869","3,882,584,710","3,882,584,710",0,"4,093,324","15,376,450,300"
Week 52 2018 12/21/2018 - 12/27/2018,"16,863,713","15,043,954","5,332,476","4,457,952","3,249,406","1,208,547","8,743,300","20,305,689,488","13,481,593,006","6,824,096,482","3,644,484,202","3,644,484,202",0,"4,213,007","16,124,556,100"
Week 53 2018 12/28/2018 - 01/03/2019,"13,798,537","12,075,525","3,204,141","2,452,069","1,505,043","947,026","7,518,278","18,819,079,757","12,357,785,089","6,461,294,668","3,242,294,852","3,242,294,852",0,"4,196,427","16,053,001,500"
Week 1 2019 01/04/2019 - 01/10/2019,"13,559,647","11,923,869","2,771,538","2,095,006","1,285,134","809,872","6,728,305","18,977,599,678","12,843,429,868","6,134,169,810","3,509,160,237","3,509,160,237",0,"4,151,249","15,553,355,200"
Week 2 2019 01/11/2019 - 01/17/2019,"13,625,199","11,892,716","2,560,198","1,901,144","1,144,794","756,349","6,582,277","19,645,612,520","13,148,803,546","6,496,808,974","3,485,301,626","3,485,301,626",0,"4,076,336","15,086,574,200"
Week 3 2019 01/18/2019 - 01/24/2019,"13,703,117","11,895,301","2,646,386","1,993,059","1,198,582","794,477","6,524,504","19,796,045,976","13,016,735,867","6,779,310,109","3,420,576,030","3,420,576,030",0,"4,064,774","14,923,887,400"
Week 4 2019 01/25/2019 - 01/31/2019,"14,040,077","12,221,378","2,807,420","2,159,008","1,377,882","781,126","6,474,725","20,092,487,982","13,272,366,075","6,820,121,907","3,464,500,089","3,464,500,089",0,"4,097,543","14,988,814,700"
Week 5 2019 02/01/2019 - 02/07/2019,"14,061,180","12,235,324","2,659,315","2,024,923","1,263,028","761,895","6,334,358","20,318,418,216","13,471,457,880","6,846,960,336","3,523,993,820","3,523,993,820",0,"4,076,924","14,824,170,400"
Week 6 2019 02/08/2019 - 02/14/2019,"14,543,681","12,686,033","2,954,809","2,271,305","1,346,766","924,539","6,824,814","20,621,402,532","13,655,220,332","6,966,182,200","3,477,537,265","3,477,537,265",0,"4,035,045","14,581,292,400"
Week 7 2019 02/15/2019 - 02/21/2019,"14,341,839","12,450,980","2,861,181","2,185,841","1,343,385","842,456","6,738,834","20,557,393,324","13,466,671,480","7,090,721,844","3,426,971,741","3,426,971,741",0,"4,037,601","14,666,214,400"
Week 8 2019 02/22/2019 - 02/28/2019,"14,590,151","12,744,793","2,931,022","2,253,047","1,368,079","884,968","6,770,662","20,702,093,641","13,781,999,896","6,920,093,745","3,520,311,047","3,520,311,047",0,"4,068,696","14,721,585,900"
Week 9 2019 03/01/2019 - 03/07/2019,"14,761,118","12,900,540","3,024,404","2,344,412","1,476,303","868,109","6,791,551","20,851,847,053","13,874,677,770","6,977,169,283","3,537,862,334","3,537,862,334",0,"4,071,102","14,721,777,600"
Week 10 2019 03/08/2019 - 03/14/2019,"14,663,820","12,775,665","2,853,108","2,215,237","1,391,595","823,642","6,370,897","21,033,495,643","13,952,912,697","7,080,582,946","3,576,474,317","3,576,474,317",0,"3,974,225","14,441,765,400"
