Rank,Title,Artist,Label,Core Genre,Release Date,Albums w/TEA w/SEA On-Demand Audio - YTD,Albums Sales - YTD,Physical Albums Sales - YTD,Digital Albums Sales - YTD,Digital Song Sales - YTD,Streaming On-Demand Audio - YTD
1,Merry Xmas,Merry Xmas,HIPD,Holiday/Seasonal,09/13/2005,"469,536",9,,9,"184,509","603,304,150"
2,Christmas Hits,Christmas Hits,PID,Holiday/Seasonal,11/23/2004,"399,087",5,,5,"286,217","507,206,516"
3,Christmas,Michael Buble,WAR,Holiday/Seasonal,10/18/2011,"375,042","107,012","72,083","34,929","74,973","345,585,927"
4,Magic Christmas,Magic Christmas,ORCH,Holiday/Seasonal,09/07/1992,"316,673",3,3,,"95,098","403,337,747"
5,Christmas Is Here!,Pentatonix,RCA,Holiday/Seasonal,10/19/2018,"284,943","214,015","173,196","40,819","55,263","84,761,575"
6,Pentatonix Christmas,Pentatonix,RCA,Holiday/Seasonal,10/21/2016,"258,598","124,923","100,250","24,673","136,418","161,567,183"
7,Holidays & Hits,Frank Sinatra,,Holiday/Seasonal,10/20/2009,"249,045",,,,"96,442","313,915,372"
8,Holidays & Hits,Nat King Cole,CAP,Holiday/Seasonal,10/20/2009,"242,254",19,,19,"93,456","302,848,834"
9,Coolest Yule Ever,Coolest Yule Ever,DELT,Holiday/Seasonal,10/09/2007,"240,159",,,,"62,558","310,609,590"
10,Happy Holidays,Happy Holidays,NOQR,Holiday/Seasonal,09/07/1993,"235,523",1,1,,"85,748","304,629,043"
11,Merry Christmas,Mariah Carey,COL,Holiday/Seasonal,09/20/1994,"229,278","39,589","29,960","9,629","133,614","236,004,238"
12,40 Christmas Classics,Andy Williams,COL,Holiday/Seasonal,11/04/2014,"221,174","1,050",,"1,050","49,584","279,012,028"
13,Christmas With The Rat Pack,Rat Pack,CAP,Holiday/Seasonal,08/24/2010,"207,055","14,395","10,158","4,237","71,696","242,983,408"
14,White Christmas,Bing Crosby,INT,Holiday/Seasonal,09/01/1990,"206,741","12,150","5,982","6,168","55,919","249,209,577"
15,Christmas Song,Nat King Cole,CAP,Holiday/Seasonal,10/10/1986,"205,097","22,184","16,350","5,834","35,088","234,063,237"
16,Charlie Brown Christmas,Vince Guaraldi Trio,FAN,Children,09/01/1990,"198,652","64,253","51,359","12,894","41,931","167,116,461"
17,Christmas With Bing Crosby,Bing Crosby,ORCH,Holiday/Seasonal,06/19/1984,"196,793",113,112,1,"47,413","255,121,243"
18,Soundtrack,Jingle All The Way,ORCH,Holiday/Seasonal,11/26/1996,"193,309",40,40,,"70,825","247,706,839"
19,Holidays & Hits,Dean Martin,CAP,Holiday/Seasonal,10/20/2009,"191,427",,,,"129,775","233,713,576"
20,Personal Christmas Collection,Andy Williams,COL,Holiday/Seasonal,08/09/1994,"188,850","6,110","5,969",141,"41,941","232,905,165"
21,Christmas Song (mastered F,Nat King Cole,,Holiday/Seasonal,11/21/2011,"185,928",,,,"34,945","238,883,417"
22,The Christmas Song,Nat King Cole,CAP,Holiday/Seasonal,08/12/1999,"184,194",39,,39,"35,019","235,607,262"
23,Christmas Crooners & Divas,Christmas Crooners & Divas,PID,Holiday/Seasonal,09/14/2004,"179,142",3,3,,"38,237","232,496,799"
24,Ultimate Christmas,Frank Sinatra,CAP,Holiday/Seasonal,10/06/2017,"168,426","22,937","20,003","2,934","35,564","184,474,314"
25,Christmas Classics,Bing Crosby,CAP,Holiday/Seasonal,10/24/1988,"165,479","11,982","4,258","7,724","50,833","199,785,894"
26,Christmas Songs,Frank Sinatra,,Holiday/Seasonal,08/31/2004,"164,374",,,,"41,210","211,394,654"
27,Christmas With Bing,Bing Crosby,CAP,Holiday/Seasonal,09/08/1992,"164,018",,,,"56,252","209,458,780"
28,Christmas Album,Frank Sinatra,MSI,Holiday/Seasonal,01/20/1998,"163,315",5,,5,"44,708","206,823,801"
29,Classic Cartoon Christmas,Nick At Nite,,Holiday/Seasonal,09/10/1996,"161,713",,,,"49,232","206,064,581"
30,Voice Of Christmas,Bing Crosby,INT,Holiday/Seasonal,10/06/1998,"158,519",915,685,230,"49,913","202,761,371"
31,A Legendary Christmas,John Legend,COL,Holiday/Seasonal,10/26/2018,"157,496","100,638","80,056","20,582","27,916","69,402,761"
32,Soundtrack,Fred Claus,WAR,Holiday/Seasonal,11/13/2007,"156,373",233,89,144,"169,359","180,959,634"
33,Merry Christmas,Andy Williams,COL,Holiday/Seasonal,07/11/1986,"154,632","1,286",805,481,"36,183","195,978,303"
34,A Jolly Christmas From Frank Sinatra,Frank Sinatra,CAP,Holiday/Seasonal,11/11/1987,"154,402","13,887","11,547","2,340","33,236","178,057,947"
35,Essential Exclusive,Christmas,COL,Holiday/Seasonal,10/15/2002,"154,259",4,4,,"72,510","196,136,741"
36,Christmas Album,Andy Williams,LALI,Holiday/Seasonal,07/11/1986,"152,488",192,122,70,"41,093","195,025,991"
37,Andy Williams Christmas Album,Andy Williams,COL,Holiday/Seasonal,08/24/2004,"152,253","5,654","3,281","2,373","39,592","186,711,906"
38,Johnny Cash,Johnny Cash,,Country,03/23/1999,"150,776",218,178,40,"191,273","176,552,560"
39,Christmas Collection,Bing Crosby,INT,Holiday/Seasonal,09/09/1991,"150,356","22,358","22,303",55,"31,104","164,424,330"
40,Merry Christmas,Bing Crosby,INT,Holiday/Seasonal,09/06/1994,"148,204","12,634","12,634",,"42,921","173,597,457"
